../ChessOk.com/mega-clean.pgn
0 0 0.0% 0.0s
10000 10000 2.1% 20.7s
20000 20000 4.2% 41.0s
30000 30000 6.4% 62.1s
30000 62.1s
         175767872 function calls (175766556 primitive calls) in 62.177 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
      106    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       26    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
      250    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       52    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      496    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      377    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       13    0.000    0.000    0.002    0.000 enum.py:475(_create_)
     52/3    0.000    0.000    0.092    0.031 <frozen importlib._bootstrap_external>:844(exec_module)
       92    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      532    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      366    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      319    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       27    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       52    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
       52    0.000    0.000    0.000    0.000 dataclasses.py:612(_is_type)
      246    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
     1015    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       19    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       26    0.000    0.000    0.000    0.000 typing.py:739(__init__)
        1    0.000    0.000    0.000    0.000 unix_events.py:436(_UnixReadPipeTransport)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
